trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2305,False,"{'a': 0.1, 'e': 0.09975880065362551}",25,18,14.707735612155362,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2306,False,"{'a': 0.1, 'e': 0.09965909171574991}",30,3,49.19009400376078,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
2307,False,"{'a': 0.1, 'e': 0.09955948243697432}",20,15,3.123823465301692,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
2308,False,"{'a': 0.1, 'e': 0.09945997271768947}",20,9,9.000522502567147,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2309,False,"{'a': 0.1, 'e': 0.09936056245838562}",20,15,-3.2430084835093087,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
2310,False,"{'a': 0.1, 'e': 0.09926125155965251}",20,1,6.2822612835760685,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
2311,False,"{'a': 0.1, 'e': 0.09916203992217924}",25,11,23.488187286152865,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2312,False,"{'a': 0.1, 'e': 0.09906292744675416}",20,15,10.474885300745362,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2313,False,"{'a': 0.1, 'e': 0.09896391403426477}",25,13,24.32561311114739,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2314,False,"{'a': 0.1, 'e': 0.09886499958569767}",20,7,20.77015163250399,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2315,False,"{'a': 0.1, 'e': 0.09876618400213838}",25,17,14.939120939359501,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
